Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
302,160.00,138.00,30.19,168.23,618.49,0.876,5.27,38.89,0.509
303,113.00,47.00,27.28,172.55,516.49,0.891,6.04,38.75,0.548
304,91.00,34.00,26.54,173.12,477.43,0.873,6.08,37.79,0.565
305,50.00,36.00,29.27,170.89,598.96,0.871,5.62,40.48,0.537
306,97.00,216.00,25.95,176.43,462.24,0.870,5.24,35.84,0.590
307,56.00,133.00,28.86,170.84,585.94,0.884,6.12,40.04,0.572
308,294.00,236.00,27.13,173.32,509.98,0.905,5.93,37.83,0.507
309,257.00,263.00,29.87,170.71,622.83,0.915,5.61,41.09,0.531
310,300.00,139.00,29.30,170.27,583.77,0.905,6.17,40.70,0.557
311,207.00,232.00,33.92,168.92,802.95,0.878,4.83,43.58,0.855
312,254.00,38.00,34.02,166.82,807.29,0.912,5.41,44.28,0.542
313,259.00,305.00,30.64,175.88,651.04,0.867,5.33,41.17,0.528
314,241.00,290.00,31.37,172.26,696.61,0.905,6.07,42.97,0.515
315,283.00,268.00,35.21,163.99,874.57,0.906,5.91,46.27,0.547
316,92.00,16.00,33.86,163.98,807.29,0.912,6.25,45.07,0.594
317,96.00,173.00,29.14,171.53,590.28,0.891,5.47,40.01,0.514
318,178.00,109.00,31.95,166.55,707.47,0.897,6.60,43.44,0.571
319,45.00,284.00,45.24,150.52,1477.86,0.890,6.59,56.29,0.575
320,42.00,65.00,28.67,169.14,559.90,0.928,6.02,39.41,0.581
321,252.00,11.00,32.15,170.02,707.47,0.897,4.92,40.45,0.487
322,174.00,125.00,26.46,176.70,483.94,0.911,5.23,36.38,0.527
323,192.00,127.00,30.13,174.01,629.34,0.838,5.69,40.44,0.559
324,102.00,200.00,30.20,174.15,627.17,0.888,6.03,41.69,0.587
325,315.00,151.00,28.63,175.35,579.43,0.898,5.67,39.39,0.584
326,56.00,156.00,55.10,145.05,2157.12,0.876,5.46,65.34,0.493
327,19.00,292.00,33.73,161.33,811.63,0.917,5.81,44.04,0.566
328,184.00,284.00,29.38,171.96,598.96,0.904,6.11,40.65,0.573
329,301.00,186.00,27.80,172.95,520.83,0.863,4.86,36.12,0.510
330,266.00,130.00,24.62,188.57,399.31,0.885,5.70,35.84,0.586
331,39.00,49.00,24.78,176.68,412.33,0.914,5.77,35.84,0.552
332,161.00,62.00,44.90,160.35,1434.46,0.884,6.35,56.46,0.572
333,179.00,40.00,24.78,178.05,407.99,0.904,5.53,35.84,0.544
334,154.00,281.00,26.25,170.75,468.75,0.894,5.93,37.56,0.553
335,57.00,96.00,26.03,172.62,442.71,0.881,6.27,37.47,0.623
336,225.00,209.00,26.10,168.31,464.41,0.885,3.73,31.98,0.409
337,200.00,299.00,27.67,170.65,529.51,0.877,5.21,37.81,0.495
338,163.00,43.00,25.60,172.34,438.37,0.872,6.21,37.20,0.624
339,29.00,15.00,36.61,157.35,924.48,0.897,5.86,46.34,0.551
340,242.00,306.00,23.29,182.31,368.92,0.873,5.39,33.84,0.561
341,16.00,262.00,27.23,165.32,509.98,0.905,6.38,38.55,0.600
342,129.00,299.00,27.29,171.71,509.98,0.905,5.90,38.49,0.579
343,67.00,84.00,24.46,174.08,399.31,0.885,6.04,35.84,0.565
344,60.00,242.00,23.95,170.41,379.77,0.912,3.71,31.38,0.536
345,66.00,462.00,32.17,136.06,713.98,0.896,5.46,38.75,0.525
346,170.00,13.00,24.41,166.21,401.48,0.878,6.24,35.42,0.503
347,44.00,262.00,31.25,160.49,670.57,0.871,5.31,39.36,0.510
348,23.00,40.00,30.76,165.58,642.36,0.920,5.59,40.45,0.536
