Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
455,312.0,235.0,0.0,46.17,1.23,46.68,-0.51,117.76,1462.67,0.908,48.64,0.941,z13
456,17.0,206.0,0.0,47.06,1.54,47.85,-0.79,111.04,1438.8,0.818,48.85,0.633,z15
457,48.0,178.0,1.0,35.71,1.69,38.25,-2.54,119.93,876.74,0.888,38.46,0.632,z12
458,267.0,9.0,0.0,35.29,1.43,37.69,-2.4,125.27,833.33,0.844,37.99,0.456,z15
459,130.0,66.0,0.0,43.41,2.0,45.06,-1.65,118.39,1245.66,0.821,45.86,0.695,z15
460,62.0,284.0,1.0,53.41,2.02,55.32,-1.91,111.65,2044.27,0.907,55.55,0.495,z14
461,36.0,192.0,0.0,35.42,1.65,38.92,-3.5,121.18,885.42,0.926,38.25,0.591,z15
462,232.0,48.0,1.0,34.36,1.45,36.95,-2.59,123.72,855.03,0.906,36.92,0.632,z15
463,141.0,146.0,0.0,37.61,2.06,39.53,-1.92,121.84,944.01,0.87,40.49,0.586,z15
464,134.0,23.0,1.0,46.76,1.67,49.24,-2.48,119.13,1408.42,0.793,49.57,0.455,z15
465,230.0,124.0,0.0,60.18,1.74,60.63,-0.45,112.02,2575.95,0.868,62.24,0.647,z12
466,269.0,172.0,0.0,46.03,1.83,48.32,-2.29,118.98,1356.34,0.857,48.63,0.524,z14
467,250.0,160.0,1.0,36.08,1.74,39.43,-3.35,124.96,876.74,0.851,38.83,0.5,z15
468,87.0,268.0,1.0,70.28,1.39,71.63,-1.35,109.48,3480.9,0.819,72.43,0.454,z12
469,101.0,303.0,0.0,50.35,1.5,50.35,0.0,110.81,1751.3,0.847,50.98,0.615,z11
470,261.0,26.0,0.0,33.69,1.32,35.71,-2.02,124.87,774.74,0.867,36.12,0.621,z13
471,443.0,424.0,0.0,38.53,1.8,40.46,-1.93,120.79,1026.48,0.882,41.16,0.815,z14
472,409.0,497.0,0.0,32.94,2.26,34.2,-1.26,121.73,618.49,0.765,35.84,0.417,z14
