Center_X_px,Center_Y_px,Diameter_μm,slide
65.0,388.0,24.06,z13
65.0,407.0,24.06,z13
55.0,471.0,23.95,z13
97.0,165.0,23.88,z13
438.0,321.0,23.69,z13
141.0,167.0,23.66,z13
262.0,292.0,23.55,z13
366.0,181.0,23.47,z13
188.0,120.0,23.37,z12
131.0,357.0,23.36,z13
380.0,243.0,23.15,z13
111.0,334.0,23.15,z13
441.0,226.0,23.08,z11
199.0,34.0,23.02,z12
73.0,244.0,22.94,z11
364.0,77.0,22.58,z04
146.0,62.0,22.4,z12
35.0,424.0,22.33,z12
235.0,229.0,22.33,z12
454.0,125.0,22.33,z12
79.0,137.0,22.19,z13
311.0,290.0,22.19,z12
465.0,335.0,22.17,z10
243.0,368.0,22.07,z13
389.0,89.0,22.04,z05
8.0,240.0,21.74,z13
16.0,383.0,21.66,z13
5.0,382.0,21.6,z06
224.0,155.0,21.55,z04
216.0,306.0,21.55,z13
247.0,395.0,21.37,z13
26.0,247.0,21.36,z13
186.0,140.0,21.19,z12
121.0,480.0,21.16,z11
98.0,381.0,21.16,z13
65.0,147.0,21.09,z13
76.0,196.0,20.9,z13
421.0,289.0,20.72,z13
284.0,35.0,20.38,z13
387.0,138.0,20.3,z13
456.0,38.0,20.17,z13
38.0,462.0,20.1,z13
466.0,131.0,20.1,z13
352.0,18.0,20.1,z11
433.0,267.0,19.96,z13
135.0,118.0,19.96,z12
359.0,292.0,19.86,z13
79.0,410.0,19.24,z12
364.0,115.0,19.24,z12
200.0,299.0,19.24,z12
91.0,285.0,19.24,z13
102.0,86.0,18.87,z12
492.0,136.0,18.84,z13
378.0,179.0,18.84,z13
398.0,334.0,18.84,z11
145.0,346.0,18.76,z13
102.0,342.0,18.62,z13
259.0,399.0,18.61,z12
376.0,348.0,18.57,z11
60.0,294.0,18.57,z13
485.0,102.0,18.5,z13
267.0,170.0,18.5,z12
25.0,283.0,18.47,z13
175.0,30.0,18.35,z12
406.0,254.0,18.32,z13
241.0,37.0,18.26,z11
22.0,192.0,17.93,z04
106.0,262.0,17.69,z13
451.0,155.0,17.25,z13
193.0,78.0,17.18,z13
211.0,70.0,16.85,z12
506.0,253.0,16.85,z05
291.0,111.0,16.52,z13
252.0,57.0,16.52,z13
367.0,104.0,16.11,z13
397.0,315.0,16.11,z12
306.0,228.0,16.0,z13
473.0,109.0,16.0,z12
282.0,235.0,16.0,z11
115.0,286.0,15.89,z13
103.0,7.0,15.69,z09
225.0,276.0,15.67,z04
4.0,360.0,15.67,z12
9.0,155.0,15.67,z13
473.0,434.0,15.67,z12
335.0,4.0,15.67,z11
