Center_X_px,Center_Y_px,Diameter_μm,slide
198.0,228.0,25.77,z_14
460.0,221.0,25.77,z_15
285.0,489.0,25.6,z_15
450.0,54.0,25.47,z_15
301.0,7.0,25.47,z_2
291.0,87.0,25.43,z_3
464.0,169.0,25.35,z_0
473.0,355.0,25.35,z_15
276.0,73.0,25.24,z_3
27.0,473.0,25.21,z_15
434.0,435.0,25.17,z_15
237.0,80.0,25.16,z_14
105.0,7.0,25.11,z_5
146.0,274.0,25.0,z_15
246.0,90.0,24.89,z_15
200.0,85.0,24.84,z_15
437.0,201.0,24.82,z_15
124.0,109.0,24.7,z_15
444.0,167.0,24.57,z_15
45.0,445.0,24.54,z_15
236.0,124.0,24.49,z_14
395.0,320.0,24.46,z_15
144.0,475.0,24.44,z_14
501.0,386.0,24.42,z_15
344.0,91.0,24.39,z_15
348.0,38.0,24.3,z_15
412.0,210.0,24.3,z_10
419.0,428.0,24.14,z_15
150.0,210.0,24.01,z_15
197.0,410.0,23.97,z_12
368.0,307.0,23.97,z_15
217.0,256.0,23.95,z_15
160.0,473.0,23.85,z_15
361.0,357.0,23.84,z_15
321.0,382.0,23.81,z_1
463.0,398.0,23.8,z_10
238.0,441.0,23.78,z_15
65.0,162.0,23.75,z_15
191.0,467.0,23.75,z_11
400.0,179.0,23.75,z_10
389.0,333.0,23.75,z_15
405.0,395.0,23.58,z_15
305.0,190.0,23.57,z_14
188.0,455.0,23.53,z_15
235.0,267.0,23.53,z_15
14.0,108.0,23.44,z_13
494.0,196.0,23.44,z_14
290.0,163.0,23.43,z_15
363.0,413.0,23.36,z_15
235.0,164.0,23.29,z_14
46.0,22.0,23.29,z_1
435.0,476.0,23.29,z_13
381.0,381.0,23.05,z_15
84.0,55.0,22.96,z_15
352.0,24.0,22.95,z_15
49.0,32.0,22.88,z_15
18.0,139.0,22.75,z_15
417.0,477.0,22.72,z_15
486.0,170.0,22.72,z_14
265.0,300.0,22.67,z_15
323.0,167.0,22.63,z_15
116.0,165.0,22.63,z_15
432.0,10.0,22.61,z_15
200.0,148.0,22.55,z_13
336.0,286.0,22.55,z_15
148.0,35.0,22.54,z_4
441.0,317.0,22.54,z_8
125.0,82.0,22.54,z_3
452.0,67.0,22.44,z_12
324.0,458.0,22.44,z_15
323.0,156.0,22.44,z_15
269.0,368.0,22.18,z_15
288.0,470.0,22.18,z_15
186.0,338.0,21.89,z_15
434.0,159.0,21.86,z_15
208.0,480.0,21.75,z_0
494.0,20.0,21.73,z_2
488.0,394.0,21.73,z_15
433.0,69.0,21.68,z_1
285.0,119.0,21.64,z_0
498.0,431.0,21.52,z_15
68.0,93.0,21.45,z_15
444.0,138.0,21.45,z_15
77.0,123.0,21.45,z_13
430.0,424.0,21.45,z_15
211.0,61.0,21.45,z_15
405.0,189.0,21.28,z_15
110.0,477.0,21.25,z_15
149.0,169.0,21.12,z_15
74.0,155.0,21.07,z_12
443.0,368.0,21.04,z_1
376.0,471.0,20.83,z_15
59.0,34.0,20.83,z_5
111.0,272.0,20.64,z_12
149.0,301.0,20.6,z_10
251.0,23.0,20.52,z_1
306.0,70.0,20.52,z_4
116.0,362.0,20.19,z_13
399.0,410.0,20.14,z_15
115.0,78.0,19.98,z_14
348.0,14.0,19.91,z_15
472.0,449.0,19.91,z_15
166.0,20.0,19.9,z_15
31.0,337.0,19.79,z_0
156.0,485.0,19.76,z_15
33.0,301.0,19.76,z_13
136.0,451.0,19.76,z_15
291.0,5.0,19.67,z_6
120.0,389.0,19.65,z_15
49.0,154.0,19.65,z_12
212.0,81.0,19.4,z_14
379.0,268.0,19.21,z_15
60.0,431.0,19.21,z_15
358.0,502.0,18.89,z_0
164.0,367.0,18.89,z_13
439.0,459.0,18.78,z_13
472.0,76.0,18.63,z_0
218.0,399.0,18.63,z_15
388.0,389.0,18.63,z_15
316.0,467.0,18.27,z_15
124.0,207.0,18.1,z_15
156.0,86.0,17.96,z_0
47.0,394.0,17.92,z_0
376.0,56.0,17.92,z_15
442.0,386.0,17.87,z_0
127.0,121.0,17.86,z_0
87.0,186.0,17.68,z_0
173.0,427.0,17.31,z_15
46.0,416.0,17.31,z_0
311.0,259.0,17.28,z_15
211.0,432.0,17.21,z_14
487.0,437.0,17.01,z_12
261.0,496.0,17.0,z_13
324.0,488.0,17.0,z_13
244.0,117.0,16.87,z_0
91.0,429.0,16.87,z_15
75.0,406.0,16.87,z_12
485.0,474.0,16.8,z_15
289.0,396.0,16.8,z_13
467.0,460.0,16.8,z_0
106.0,168.0,16.8,z_15
245.0,375.0,16.8,z_0
241.0,5.0,16.6,z_11
148.0,120.0,16.6,z_12
305.0,409.0,16.5,z_14
226.0,79.0,16.36,z_12
494.0,463.0,16.34,z_15
336.0,316.0,16.34,z_0
195.0,328.0,16.3,z_0
5.0,134.0,16.28,z_0
8.0,336.0,16.27,z_12
441.0,110.0,16.27,z_0
