Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
59,378.00,357.00,15.79,143.51,172.50,0.895
60,318.00,267.00,11.49,159.53,88.50,0.880
61,259.00,423.00,21.41,132.77,325.00,0.864
62,189.00,391.00,17.14,132.01,206.00,0.906
63,234.00,383.00,13.14,151.25,117.00,0.876
64,245.00,438.00,16.07,140.93,180.00,0.882
65,188.00,374.00,13.00,149.99,113.00,0.935
66,309.00,381.00,17.97,140.09,218.50,0.874
67,235.00,488.00,16.18,141.06,180.00,0.882
68,211.00,472.00,13.89,147.82,131.00,0.892
69,36.00,360.00,13.74,145.89,125.50,0.913
70,109.00,387.00,12.41,151.72,102.50,0.913
71,179.00,476.00,16.64,140.14,193.00,0.916
72,187.00,341.00,13.60,147.04,124.50,0.906
73,82.00,352.00,24.20,127.05,403.50,0.830
74,59.00,314.00,19.78,132.52,276.50,0.879
75,154.00,329.00,18.97,135.44,231.50,0.839
76,151.00,389.00,14.31,143.96,140.50,0.864
77,249.00,475.00,18.75,133.35,249.50,0.905
78,196.00,472.00,12.60,152.27,106.00,0.877
79,243.00,458.00,14.33,136.73,138.50,0.851
80,253.00,498.00,22.62,128.90,355.50,0.849
81,88.00,374.00,17.81,136.82,214.50,0.858
82,290.00,384.00,13.95,138.77,126.50,0.885
83,178.00,403.00,12.21,153.18,95.50,0.890
84,119.00,315.00,19.98,134.99,279.50,0.889
85,216.00,490.00,19.82,134.89,278.00,0.901
86,311.00,316.00,15.66,145.31,167.00,0.919
87,257.00,325.00,22.36,131.28,344.50,0.805
88,268.00,381.00,19.13,135.33,257.00,0.924
89,128.00,387.00,17.49,140.44,190.50,0.845
90,194.00,407.00,13.93,147.44,129.00,0.878
91,165.00,410.00,13.97,145.34,134.00,0.912
92,346.00,486.00,11.84,150.94,93.00,0.895
93,202.00,458.00,14.95,145.87,151.50,0.885
94,184.00,358.00,15.85,141.74,171.50,0.890
95,93.00,395.00,21.67,126.78,326.50,0.874
96,240.00,332.00,12.04,153.33,96.00,0.883
97,138.00,400.00,14.00,148.37,135.00,0.884
98,51.00,370.00,18.16,135.92,233.00,0.913
99,165.00,377.00,15.66,139.31,166.50,0.864
